user_id,number_transactions_drinks,number_of_days_drinks,number_of_geo_hash_drinks
14465135331660370218,2,2,1
25255222163232370308,2,2,1
-462476471238370335,1,1,1
-22858822982643703617,2,2,1
-13189188532503702045,2,2,1
25763921697339370233,3,3,1
-21749099423163704106,3,3,1
27207113191191370389,2,2,1
-13537421800083702300,2,2,1
-13768779669993702912,2,2,1
27344241980097370233,2,2,1
-6463422537723703470,2,2,1
-2247034236291370224,2,2,1
-7929533457003704340,2,2,1
-17912126794923704304,1,1,1
3464540857212370293,2,2,1
-24124759084653703239,1,1,1
-22513010190303704319,2,2,1
-22586545995393704703,1,1,1
-11171082732693702993,1,1,1
-6374830676043704385,1,1,1
-2743351513824370236,2,2,1
19345953573015370425,1,1,1
-8191691293233703890,2,2,1
5152876922433370389,2,2,1
-15082890639483704136,1,1,1
-18426661461663704973,3,3,1
432997021316437029,2,2,1
21644326413258370452,2,2,1
-6438858995793703917,2,2,1
8643682050261370353,1,1,1
18689369563659370236,2,2,1
-7340530556703704985,2,2,1
21216114314124370497,1,1,1
-19159721834523703935,2,2,1
-988588985865370251,2,2,1
-25511506379613702990,5,5,1
7060525984077370296,2,2,1
-12967294952163704397,2,2,1
27408849271152370338,2,2,1
-19110417963393704682,2,2,1
-12438315749673703329,1,1,1
-9202042348383704637,3,3,1
9131546947416370491,2,2,1
-10406137749753704118,1,1,1
2061347391477937044,2,2,1
-575634294012370239,3,3,1
-27400144748403703935,2,2,1
20314819662567370227,2,2,1
-5721825644733703557,2,2,1
3613278885483370236,3,3,1
-1903606259961370461,2,2,1
9100088625270370401,2,2,1
-4231289550813704760,1,1,1
22832362226886370380,2,2,1
-27226707644343703050,1,1,1
18959857810284370416,2,2,1
66253770908763702,2,2,1
-17022021675513702150,1,1,1
-4116593692743704955,1,1,1
3640948133253370425,2,2,1
17606310745128370278,1,1,1
9738814317519370443,1,1,1
7820083266546370428,2,2,1
9918693692250370440,1,1,1
-26681511190653704247,2,2,1
-6798807005553704301,4,4,1
15530899711659370437,1,1,1
-4061621507823704334,3,3,1
24228523512543370449,1,1,1
24581756346354370428,3,3,1
-19055509582173704958,2,2,1
184099506512763702,1,1,1
-10436878181283703617,2,2,1
-11815431975303703197,1,1,1
-1270932683754370425,2,2,1
-4375387442073704355,2,2,1
-1832497549362370209,1,1,1
7882083659457370233,2,2,1
12468613282578370356,3,3,1
-21922397542023702102,2,2,1
-15831613182993703872,2,2,1
-15242595962343704175,1,1,1
-1798346870004370215,2,2,1
17904351406158370425,1,1,1
23835513679581370395,2,2,1
-4147912382943703212,1,1,1
-8809854301293702840,2,2,1
26700124928280370281,1,1,1
20186526317550370293,2,2,1
-1185393558768370218,2,2,1
9420942529443370305,2,2,1
4724711324130370338,1,1,1
27542310481629370251,1,1,1
9264366826482370284,2,2,1
16644513384264370200,1,1,1
3645030928035370230,2,2,1
16161771629892370290,2,2,1
10197894830532370224,2,2,1
-14359488855543704253,3,3,1
9139419737922370359,1,1,1
-20866946670513704115,2,2,1
-12484892092743704544,2,2,1
-12363984251223704091,3,3,1
-3846257184903702147,2,2,1
24963241601385370437,2,2,1
-7719916735473704553,3,3,1
25566581571462370467,2,2,1
16510743775482370305,2,2,1
19428126177033370392,3,3,1
11003654182710370200,1,1,1
-25471597271403702990,1,1,1
-20513307679083703635,1,1,1
-23302742954103703350,2,2,1
12570661386429370440,1,1,1
10911382507884370218,2,2,1
16763248324500370377,2,2,1
23019102761064370263,2,2,1
-18703475544693703944,1,1,1
-5644734952083704406,2,2,1
20559958727814370221,2,2,1
-27484274253423702222,2,2,1
-8530960996833704847,2,2,1
-15706751112933703167,2,2,1
16467647608095370314,1,1,1
5498773756341370446,2,2,1
-15230359709163702291,2,2,1
24487021944906370254,2,2,1
620062662973537041,2,2,1
-26988385748763703458,1,1,1
-762575107086370221,1,1,1
-147329716155337044,2,2,1
10555573517043370488,2,2,1
12817433941788370320,2,2,1
21231255652548370347,2,2,1
14904459946929370218,1,1,1
-20892132269133703506,1,1,1
-9993241010583704274,2,2,1
16800344379093370485,2,2,1
19513359959760370212,2,2,1
-487636670121370395,1,1,1
-17286645898053704007,1,1,1
-17945735967183702705,2,2,1
-21694627810533703299,2,2,1
-22526004575283704868,5,5,1
-11996839547283704175,2,2,1
11214981205353370233,2,2,1
6841040693469370443,1,1,1
-294458494059937041,1,1,1
-11571930021903703443,2,2,1
17897796851193370491,2,2,1
6728137154247370494,2,2,1
9106040207937370227,2,2,1
-14717562965853703326,2,2,1
11630527943928370365,1,1,1
-13017466816233703068,1,1,1
8609529515433370245,3,3,1
-7301148579783703050,1,1,1
-21453570262983702990,1,1,1
-25943891335263704298,2,2,1
-26776035145683703806,2,2,1
-7200677975493702753,2,2,1
-12040957316373702834,2,2,1
-4598078382723703209,2,2,1
-26527278599763702480,2,2,1
-8885440875153704070,2,2,1
-3252514532943703779,1,1,1
-9760378308813703512,2,2,1
-10573877285043702402,1,1,1
-5826694565673703035,2,2,1
23398588720053370476,2,2,1
23951615665635370218,1,1,1
8319106399092370434,2,2,1
3790252456443370287,2,2,1
2678820132704437020,2,2,1
23712144606735370404,1,1,1
2432195896936237023,2,2,1
1013036407829437020,2,2,1
1100477819420437029,2,2,1
-2625146800434370314,1,1,1
24113072731680370356,2,2,1
1591873491574237032,2,2,1
19266495083301370260,2,2,1
15549640527495370494,2,2,1
3148479770118370260,1,1,1
-19262631406803702051,3,3,1
9761474814489370374,2,2,1
4687175338884370353,2,2,1
26814843576999370248,2,2,1
644079319393237029,2,2,1
3835054803090370245,1,1,1
2275671117706237047,2,2,1
-8334266107983702246,2,2,1
-7994985835833704544,2,2,1
-19838936926743704016,2,2,1
-501825360015370458,2,2,1
25245625835433370272,2,2,1
-1225049694039370443,2,2,1
