user_id,number_transactions_sports,number_of_days_sports,number_of_geo_hash_sports
-10874127871773704133,1,1,1
-7826610857493704748,1,1,1
12434852597562370356,2,2,1
21724286819583370440,1,1,1
-25898055991173703338,2,2,1
5028557793480370353,2,2,1
-7093661657343703008,1,1,1
1424821182186637026,2,2,1
-27253964101233704685,1,1,1
-16646098369623703935,2,2,1
7972505426121370242,2,2,1
-5772770409843704361,2,2,1
-2627250270402370308,2,2,1
12606543288705370305,3,3,1
-9066162159633704805,2,2,1
-11707122441123704877,4,4,1
19325577361395370332,3,3,1
-18070090295703702210,3,3,1
-12954252927603702846,3,3,1
15777120317787370287,2,2,1
733660870410637038,3,3,1
-4196061974793704460,2,2,1
21449873800128370317,2,2,1
7595849856558370257,2,2,1
5041187265864370416,2,2,1
16932164186055370326,2,2,1
-5348204437053704373,1,1,1
23539583029398370221,3,3,1
-14236593656733704028,2,2,1
-9359156869293704130,2,2,1
6817712502522370245,2,2,1
-10474612332093702780,2,2,1
-1442565123621370296,2,2,1
-244830466070737047,2,2,1
24912308837511370308,1,1,1
19881453559014370317,2,2,1
-4598078382723703209,2,2,1
-26308080386733704358,2,2,1
23620055473149370245,1,1,1
14886434692269370467,1,1,1
-16730643389643703257,1,1,1
-4455635190213703989,2,2,1
-3386460324423704154,2,2,1
-1744251664239370308,2,2,1
25295643855885370344,2,2,1
-12921342671193702426,1,1,1
26189087268921370266,2,2,1
-9452882995053702867,2,2,1
5846453533128370356,1,1,1
-12579054682113703128,1,1,1
-21603736175523703638,2,2,1
11637495956970370278,1,1,1
-27517374241263704943,2,2,1
23581012076694370305,3,3,1
-27366591623763702750,3,3,1
-16168846011723704949,1,1,1
-14854394531943702327,2,2,1
14265550765077370296,2,2,1
26042420371176370386,1,1,1
-9902897698863703086,2,2,1
896573117865337020,2,2,1
-9519328063023702510,1,1,1
8770992918171370254,1,1,1
471898019488237044,2,2,1
11566323969357370272,2,2,1
-9686208168273702612,1,1,1
21659826810282370470,2,2,1
23094710859702370305,2,2,1
12947830530429370461,2,2,1
-11805668983683703446,2,2,1
18176220115104370305,1,1,1
7091170673724370212,1,1,1
-9033952153473703887,2,2,1
-18411118961553702981,2,2,1
24626081742459370245,2,2,1
8380952800692370386,2,2,1
-18803972945553702066,1,1,1
-24756510354573704478,2,2,1
-24545442906933704775,2,2,1
24455685429639370224,2,2,1
3613278885483370236,3,3,1
-6199924820313704331,1,1,1
15910059580074370446,2,2,1
